epoch,train_loss,test_acc
1,4.469997126732946,7.19
2,3.764041703680287,13.19
3,3.4089984625501706,17.65
4,3.103140275801539,23.69
5,2.908868849429938,24.32
6,2.784872587074709,26.0
7,2.710954192959134,26.97
8,2.6498062491721814,29.11
9,2.597424290064351,29.92
10,2.569358398847263,26.93
11,2.5378426549684665,31.77
12,2.5180268930962018,30.58
13,2.491509950221957,32.9
14,2.476417796386172,29.8
15,2.456679641743145,30.41
16,2.4495091683724346,31.48
17,2.4330385732833686,31.74
18,2.424024144859265,33.15
19,2.4187027412607236,30.21
20,2.4052660954577845,32.8
