epoch,train_loss,test_acc
1,3.0137027059979453,43.37
2,1.8591146475213873,49.93
3,1.4033455379173885,52.53
4,1.0610298067712418,53.37
5,0.7797101239109283,53.43
6,0.5477013831858135,53.6
7,0.3700740864438474,53.58
8,0.2550723558420415,54.16
9,0.18057356355592724,53.77
10,0.13526507185967376,53.66
11,0.11243631839371093,53.38
12,0.10570392974883394,53.45
13,0.09802274012466526,53.16
14,0.10430325723974906,53.55
15,0.09373200990621695,53.11
16,0.08972092421101335,53.41
17,0.0794537508398142,53.49
18,0.07687618315238934,53.35
19,0.07340113146949911,53.81
20,0.07285842517166949,52.89
