epoch,train_loss,test_acc
1,3.5472446351635214,39.05
2,2.483673402241298,47.24
3,2.086962855592066,49.8
4,1.7894488694716473,51.49
5,1.5469652098052356,51.92
6,1.343725429505718,51.88
7,1.1846864454600277,51.64
8,1.067988598225068,51.92
9,0.9938879730750103,52.37
10,0.948663031872438,52.26
11,0.9176698357475047,52.06
12,0.9005066253701035,52.36
13,0.8923101510320391,52.4
14,0.8815282859972545,52.85
15,0.8749174642927793,53.1
16,0.8713878526979563,52.56
17,0.8684030044443753,52.83
18,0.8701603047701777,53.03
19,0.8618423911381741,53.41
20,0.8604929760402563,53.34
